"Tempo","Temperatura"
17.6650,292.2
17.6700,292.2
17.6750,292.2
17.6800,292.2
17.6850,292.2
17.6900,292.2
17.6950,292.2
17.7000,292.2
17.7050,292.2
17.7100,292.2
17.7150,292.2
17.7200,292.2
17.7250,292.2
17.7300,292.2
17.7350,292.2
17.7400,292.2
17.7450,292.2
17.7500,292.2
17.7550,292.1
17.7600,292.2
17.7650,292.1
17.7700,292.2
17.7750,292.2
17.7800,292.1
17.7850,292.1
17.7900,292.1
17.7950,292.1
17.8000,292.2
17.8050,292.1
17.8100,292.1
17.8150,292.1
17.8200,292.1
17.8250,292.1
17.8300,292.1
17.8350,292.1
17.8400,292.1
17.8450,292.1
17.8500,292.1
17.8550,292.1
17.8600,292.1
17.8650,292.1
17.8700,292.1
17.8750,292.2
17.8800,292.1
17.8850,292.1
17.8900,292.1
17.8950,292.1
17.9000,292.1
17.9050,292.1
17.9100,292.1
17.9150,292.1
17.9200,292.1
17.9250,292.1
17.9300,292.1
17.9350,292.1
17.9400,292.1
17.9450,292.1
17.9500,292.1
17.9550,292.1
17.9600,292.1
17.9650,292.1
17.9700,292.1
17.9750,292.1
17.9800,292.1
17.9850,292.1
17.9900,292.1
17.9950,292.1
18.0000,292.1
18.0050,292.1
18.0100,292.1
18.0150,292.1
18.0200,292.1
18.0250,292.1
18.0300,292.1
18.0350,292.1
18.0400,292.1
18.0450,292.1
18.0500,292.1
18.0550,292.1
18.0600,292.1
18.0650,292.1
18.0700,292.1
18.0750,292.1
18.0800,292.1
18.0850,292.1
18.0900,292.1
18.0950,292.1
18.1000,292.1
18.1050,292.1
18.1100,292.1
18.1150,292.1
18.1200,292.1
18.1250,292.1
18.1300,292.1
18.1350,292.1
18.1400,292.1
18.1450,292.1
18.1500,292.1
18.1550,292.1
18.1600,292.1
18.1650,292.1
18.1700,292.1
18.1750,292.1
18.1800,292.1
18.1850,292.1
18.1900,292.1
18.1950,292.1
18.2000,292.1
18.2050,292.0
18.2100,292.1
18.2150,292.1
18.2200,292.1
18.2250,292.1
18.2300,292.1
18.2350,292.1
18.2400,292.1
18.2450,292.1
18.2500,292.0
18.2550,292.1
18.2600,292.0
18.2650,292.0
18.2700,292.0
18.2750,292.1
18.2800,292.0
18.2850,292.0
18.2900,292.0
18.2950,292.0
18.3000,292.1
18.3050,292.0
18.3100,292.0
18.3150,292.1
18.3200,292.0
18.3250,292.0
18.3300,292.0
18.3350,292.0
18.3400,292.0
18.3450,292.0
18.3500,292.0
18.3550,292.0
18.3600,292.0
18.3650,292.0
18.3700,292.0
18.3750,292.0
18.3800,292.0
18.3850,292.0
18.3900,292.0
18.3950,292.0
18.4000,292.0
18.4050,292.0
18.4100,292.0
18.4150,292.0
18.4200,292.0
18.4250,292.0
18.4300,292.0
18.4350,292.0
18.4400,292.0
18.4450,292.0
18.4500,292.0
18.4550,292.0
18.4600,292.0
18.4650,292.0
18.4700,292.0
18.4750,292.0
18.4800,292.0
18.4850,292.0
18.4900,292.0
18.4950,292.0
18.5000,292.0
18.5050,292.0
18.5100,292.0
18.5150,292.0
18.5200,292.0
18.5250,292.0
18.5300,292.0
18.5350,292.0
18.5400,292.0
18.5450,292.0
18.5500,292.0
18.5550,292.0
18.5600,292.0
18.5650,292.0
18.5700,292.0
18.5750,292.0
18.5800,292.0
18.5850,292.0
18.5900,292.0
18.5950,292.0
18.6000,292.0
18.6050,292.0
18.6100,292.0
18.6150,292.0
18.6200,292.0
18.6250,292.0
18.6300,292.0
18.6350,292.0
18.6400,292.0
18.6450,292.0
18.6500,292.0
18.6550,292.0
18.6600,292.0
18.6650,292.0
18.6700,292.0
18.6750,292.0
18.6800,292.0
18.6850,292.0
18.6900,292.0
18.6950,292.0
18.7000,292.0
18.7050,292.0
18.7100,292.0
18.7150,292.0
18.7200,292.0
18.7250,292.0
18.7300,292.0
18.7350,292.0
18.7400,292.0
18.7450,292.0
18.7500,292.0
18.7550,292.0
18.7600,292.0
18.7650,292.0
18.7700,292.0
18.7750,292.0
18.7800,292.0
18.7850,292.0
18.7900,292.0
18.7950,292.0
18.8000,292.0
18.8050,292.0
18.8100,291.9
18.8150,291.9
18.8200,292.0
18.8250,292.0
18.8300,291.9
18.8350,292.0
18.8400,292.0
18.8450,292.0
18.8500,291.9
18.8550,292.0
18.8600,292.0
18.8650,292.0
18.8700,291.9
18.8750,291.9
18.8800,292.0
18.8850,291.9
18.8900,292.0
18.8950,291.9
18.9000,291.9
18.9050,291.9
18.9100,291.9
18.9150,291.9
18.9200,292.0
18.9250,291.9
18.9300,291.9
18.9350,291.9
18.9400,291.9
18.9450,291.9
18.9500,291.9
18.9550,291.9
18.9600,291.9
18.9650,291.9
18.9700,291.9
18.9750,291.9
18.9800,291.9
18.9850,291.9
18.9900,291.9
18.9950,291.9
19.0000,291.9
19.0050,291.9
19.0100,291.9
19.0150,291.9
19.0200,291.9
19.0250,291.9
19.0300,291.9
19.0350,291.9
19.0400,291.9
19.0450,291.9
19.0500,291.9
19.0550,291.9
19.0600,291.9
19.0650,291.9
19.0700,291.9
19.0750,291.9
19.0800,291.9
19.0850,291.9
19.0900,291.9
19.0950,291.9
19.1000,291.9
19.1050,291.9
19.1100,291.9
19.1150,291.9
19.1200,291.9
19.1250,291.9
19.1300,291.9
19.1350,291.9
19.1400,291.9
19.1450,291.9
19.1500,291.9
19.1550,291.9
19.1600,291.9
19.1650,291.9
19.1700,291.9
19.1750,291.9
19.1800,291.9
19.1850,291.9
19.1900,291.9
19.1950,291.9
19.2000,291.9
19.2050,291.9
19.2100,291.9
19.2150,291.9
19.2200,291.9
19.2250,291.9
19.2300,291.9
19.2350,291.9
19.2400,291.9
19.2450,291.8
19.2500,291.9
19.2550,291.9
19.2600,291.8
19.2650,291.9
19.2700,291.9
19.2750,291.9
19.2800,291.9
19.2850,291.9
19.2900,291.9
19.2950,291.8
19.3000,291.9
19.3050,291.8
19.3100,291.9
19.3150,291.8
19.3200,291.8
19.3250,291.8
19.3300,291.9
19.3350,291.8
19.3400,291.8
19.3450,291.8
19.3500,291.8
19.3550,291.8
19.3600,291.8
19.3650,291.8
19.3700,291.8
19.3750,291.8
19.3800,291.8
19.3850,291.8
19.3900,291.8
19.3950,291.8
19.4000,291.8
19.4050,291.8
19.4100,291.8
19.4150,291.8
19.4200,291.8
19.4250,291.8
19.4300,291.8
19.4350,291.8
19.4400,291.8
19.4450,291.8
19.4500,291.8
19.4550,291.8
19.4600,291.8
19.4650,291.8
